AppID,App Name,All Review,All Percent,All People
532240,Scourge of War: Ligny,None,None,3
532260,Top Floor,Mostly Negative,37%,24
532270,Lethal VR,Very Positive,87%,96
532280,Gone with the Demon (Demo),Positive,93%,15
532290,Dark Train,Positive,89%,49
532310,The Planet of the Vicious Creatures - Soundtrack,None,None,None
532320,de Blob,Very Positive,95%,67
531450,John Leguizamo: Spic-O-Rama,None,None,None
531480,ShapeRockets,None,None,7
531490,Golden Swords,None,None,None
531520,TankCraft,None,None,5
531530,POLYGOD,Positive,82%,39
531540,Hidden Dimensions 3,Mostly Positive,78%,47
531600,Game Character Hub PE: Second Story,None,None,None
531601,Game Character Hub PE: DS Generator Parts,None,None,1
531630,Non-Linear Text Quests,Mostly Positive,70%,10
531650,Trial to Full Game Upgrade,None,None,None
531660,Exoplanet: First Contact,Very Positive,81%,136
531680,8-Bit Invaders!,Very Positive,81%,220
531720,Rescue Bear Operation - Moo Bucket,None,None,None
531730,Corona Blossom Vol.2 The Truth From Beyond,Very Positive,94%,94
531740,Rubek,Mostly Positive,72%,65
531750,Army of Tentacles: OMG it's sequel content,None,None,None
531770,On bike Nurburgring Experience,None,None,5
531780,Castle Explorer,None,None,None
531810,Streamline Early Access,None,None,4
531860,Where's My What?,None,None,1
531890,Guardian's Oath,Positive,92%,13
531910,Bad Sector HDD,Positive,95%,22
531920,Carton,None,None,3
531130,Euro Truck Simulator 2 - Vive la France !,Very Positive,93%,"1,156"
531131,Euro Truck Simulator 2 - Heavy Cargo Pack,Very Positive,88%,"1,565"
531140,All the Delicate Duplicates,Mostly Positive,73%,26
531150,DOA5LR Character: Kokoro,None,None,2
531151,DOA5LR Character: Hitomi,Positive,85%,14
531152,DOA5LR Character: Leifang,None,None,6
531153,DOA5LR Character: Tina,None,None,5
531154,DOA5LR Character: La Mariposa,None,None,3
531155,DOA5LR Character: Helena,None,None,4
531156,DOA5LR Character: Christie,None,None,4
531157,DOA5LR Character: Mila,None,None,7
531158,DOA5LR Character: Sarah,None,None,2
531159,DOA5LR Character: Pai,None,None,5
531160,DOA5LR Character: Momiji,None,None,3
531161,DOA5LR Character: Rachel,None,None,4
531162,DOA5LR Character: Alpha-152,None,None,2
531163,DOA5LR Character: Marie Rose,Positive,100%,24
531164,DOA5LR Character: Phase 4,None,None,2
531165,DOA5LR Character: Nyotengu,None,None,8
531166,DOA5LR Character: Honoka,None,None,9
531167,DOA5LR Character: Jann Lee,None,None,4
531168,DOA5LR Character: Zack,None,None,None
531169,DOA5LR Character: Eliot,None,None,1
531170,DOA5LR Character: Brad Wong,None,None,2
531171,DOA5LR Character: Bayman,None,None,1
531172,DOA5LR Character: Rig,None,None,2
531190,HEBEREKE!: March! Red Army Girls' Brigade,Very Positive,90%,141
531200,Beneath The Cherry Trees / 桜の樹の下には,None,None,None
531210,Unbox Demo,Very Positive,90%,195
