App ID, App Name
29620,Guild Wars: Trilogy
29630,Guild Wars: Nightfall
29640,Aion
29650,Aion Collectors Edition
29660,Aion
29670,Aion Collectors Edition
29680,City of Heroes: Going Rogue 
29690,City of Heroes: Going Rogue EU
29700,Guild Wars: Eye of the North
25990,Majesty: Gold Edition
26000,The Maw
26005,The Maw: Brute Force
26006,The Maw: River Redirect
26007,The Maw: Speeder Lane
26009,The Maw
26010,The Maw Demo
26100,Noesis - Realtime Character Animation with Softimage
26110,Noesis - Source Vehicle Scripting
26120,Noesis - Intro to Source Vehicle Programming
26130,Noesis - Source Machinima Choreography
26140,Noesis - Source Machinima Cinematography
26160,Noesis - 3D Content Creation with 3dsMax
26170,Noesis - 3D Content Creation with Maya
26180,Noesis - Custom Props & Animation with 3dsMax
26300,Drug Wars
26500,Cogs
26510,Cogs Demo
26700,Smashing Toys Press Demo
26710,Smashing Toys
26720,Smashing Toys Demo
26800,Braid
26803,Braid Soundtrack
26810,Braid Demo
26900,Crayon Physics Deluxe
26910,Crayon Physics Deluxe Demo
27000,The Path
27020,The Graveyard
27030,The Graveyard Trial
27040,The Path - Prologue
27050,FATALE
27200,Summer Athletics
27220,Divinity II - Ego Draconis
27240,Summer Athletics 2009
27300,Saw
27330,Blacklight: Tango Down
27400,Dangerous High School Girls in Trouble!
27600,MEVO & the Grooveriders
27610,MEVO & the Grooveriders Demo
27800,Space Giraffe
27810,GridRunner Revolution
27900,Twin Sector
27910,Twin Sector Demo
27920,Booster Trooper
27930,Booster Trooper Demo
27940,Dead Horde
28010,Kane and Lynch 2: The Doggie Bag DLC
25753,MiBI Skins - Evolution Runners 09 DLC
25754,MiBI Skins - Evolution Support 09 DLC
25755,MiBI Skins - Evolution Heavy 09 DLC
25756,MiBI Skins - Evolution Flyers DLC
25757,MiBI Skins - Christmas '09 DLC
25758,Madballs Anarchy Unlock Pack DLC
25759,MiBI Skins - Desertion Pack DLC
25760,MiBI Skins - Madballs BDI Clan Skins DLC
25761,MiBI Skins - Madballs Scorched Clan Skins
25762,Madballs BDI Evolution Rollup
25763,Madballs Scorched Evolution Rollup
25764,Madballs Holiday Skins
25765,MiBI Skins - All Clan Skins Pack DLC
25800,Europa Universalis III
25806,Europa Universalis III: Heir to the Throne
25808,Europa Universalis III: Divine Wind
25809,Europa Universalis III: Eastern - Anno Domini 1400
25810,Europa Universalis III: Western - Anno Domini 1400
25811,Enlightenment Sprite Pack
25812,Reformation Sprite Pack
25813,Medieval Sprite Pack
25814,Europa Universalis III: Revolution Sprite Pack
25815,Europa Universalis III: Absolutism SpritePack
25816,Europa Universalis III: Revolution 2
25817,Europa Universalis III: Music of the World
25830,Knights of Honor
25840,Take Command: Second Manassas
25850,Elven Legacy
25860,Sword of the Stars
25870,Stalin vs. Martians
25879,Stalin vs. Martians
25880,Elven Legacy - Demo
25890,Hearts of Iron III
25892,Hearts of Iron III: US Sprite Pack
25893,Hearts of Iron III: German Sprite Pack
25896,Hearts of Iron III: German Infantry Sprite Pack
25897,Hearts of Iron III: Japanese Infantry Sprite Pack
25898,Hearts of Iron III: Soviet Sprite Pack
25899,Hearts of Iron 3: Soviet Music Pack
25900,King's Bounty: The Legend
25910,Supreme Ruler 2020: Gold
25920,Sword of the Stars: Argos Naval Yard Expansion
25930,East India Company
25939,East India Company
25940,East India Company: Pirate Bay
25960,Hearts of Iron III: Soviet Infantry Spritepack
25962,Hearts of Iron III: German II Sprite Pack
25980,Majesty 2
25989,Majesty 2
24920,Dragon Age: Origins Character Creator
24932,Dragon Age: Origins Bonus Content
24934,Dragon Age: Origins Deluxe CD Key
