AppID,App Name,All Review,All Percent,All People
960790,DON'T GIVE UP: A Cynical Tale Demo,None,None,None
960820,Data mining 2,None,None,None
960890,Adolescent Santa Claus OST And ART,None,None,1
969550,Spoorky Demo,None,None,None
969560,Coloring Pixels - Emoji Pack,None,None,None
969620,Seven days with the Ghost - Original Soundtrack,None,None,None
969710,Super Meat Boy Race Mode,None,None,5
969740,Yearning,None,None,None
969860,Corrupt The Priest,None,None,None
969070,World of Guns: XIX Century Pack #1,None,None,None
969130,The Lost Soul,None,None,None
969160,OCTOPTICOM Demo,None,None,1
969230,Death Space,None,None,None
969260,Ballistic Overkill - Marksman: Secret Agent,None,None,None
969261,Ballistic Overkill - Shadow: Red Leader,None,None,None
969262,Ballistic Overkill - Grenadier: Mad Bomber,None,None,None
969270,Glass Masquerade - Halloween Puzzle Pack,None,None,1
969280,Letzte Worte VR Demo,None,None,None
969290,The Claire Wizard Thesis,None,None,None
969300,Del Playa,None,None,None
969310,The Documentary,None,None,None
969320,The Drifter,None,None,None
969410,"Clinton, Inc.",None,None,None
969430,LUXO Buddies - Expansion Pack 1,None,None,None
968710,Hazelnut Bastille,None,None,None
968740,Vile - Album,None,None,None
968750,Moreau Demo,None,None,None
968780,Fairyland: Fairylines,None,None,None
968930,The Fur in Me,None,None,None
968990,Mean Routine,None,None,None
968160,Doca 2,None,None,None
968170,[it's possible],None,None,None
968180,Hypatia - Turbo Witch,None,None,None
968210,Predicate,None,None,None
968220,Wish Giver - Reward 1$,None,None,None
968260,Behind The Schemes: S01E08,Positive,100%,13
968390,Deceit - Vampire Pack,Positive,92%,39
968410,AstroGenesis,None,None,None
968450,Hentai Puzzle Classic,None,None,None
968460,Mine Royale - Battle Royale,None,None,None
968470,Bunny Mahjo,None,None,None
968560,Gravity Wars: Black Hole,None,None,None
968580,Halloween Puzzles,None,None,None
968590,Super Urban Wizard,None,None,None
967910,Galactic Incoming,None,None,None
967920,Hentai Loli vs Pedobear,None,None,None
967960,Spray Dynamite X Radioactive Insects,None,None,None
967250,DOKA 2 KISHKI EDITION,None,None,None
967370,Dungeons of Necromancers,None,None,None
967430,Nights at the Clown Maze,None,None,None
967440,Kick The Anime Simulator,None,None,None
967460,Red Eclipse,None,None,None
906950,Bomb Riders,None,None,4
907020,Bomber 95,None,None,2
907040,Simple Racing,None,None,None
907050,Deep Space,None,None,None
907080,Knockout League - Heavy Update,None,None,3
907120,The Banner Saga 3 - Legendary Items,None,None,None
907150,Return. (Donationware),None,None,3
907160,Project Skylab,Mostly Negative,24%,25
907170,Mechanism - OST,None,None,None
907210,Phantom Thief Celianna,None,None,None
907220,One Piu Day,None,None,2
907240,Pixel Xiuzhen,None,None,None
907280,MX vs ATV All Out - GOAT Farm,None,None,5
907290,I’m not a Monster Demo,Very Positive,89%,147
907300,5000 Rubies Pack 1,None,None,None
907330,Amulet Zero 零物语 - Optimize,Positive,100%,10
907350,Welcome To... Chichester 2 : The Spy Of Chichester And The Eager Tourist Guide,None,None,3
907360,Welcome To... Chichester 2 : The Spy Of Chichester And The Eager Tourist Guide Demo,None,None,3
907370,Mirror: The Lost Shards,Overwhelmingly Positive,96%,"1,323"
907380,The Ballad Singer,None,None,9
907390,Numberline 3,None,None,None
907420,Zaccaria Pinball - Future World 2018 Table,None,None,None
906590,Dabwoman: When The Dab Isn’t sexist,Positive,83%,24
906650,Gumstein: The Awakening,None,None,2
906660,Seacurity Breach,None,None,None
906670,Happy together - Catgirl,None,None,5
906680,BloodyMary,None,None,3
906700,Fantasy Grounds - Pathfinder RPG - Return of the Runelords AP 1: Secrets of Roderic's Cove (PFRPG),None,None,None
906720,Strid - Full Edition,None,None,None
906730,Typical,None,None,None
906740,Voidship: The Long Journey,None,None,None
906750,Weaverse,None,None,None
906780,"Fantasy Grounds - Odds and Ends, Volume 6 (Token Pack)",None,None,None
906790,Gaia,None,None,None
906800,"Fantasy Grounds - Strange Supernaturals, Volume 8 (Token Pack)",None,None,None
906810,Music Maker Steam Edition,None,None,None
906820,Protocore,None,None,None
906840,Fantasy Grounds - Quests of Doom 4: A Midnight Council of Quail (5E),None,None,None
906850,Again?,None,None,2
906880,goto,None,None,4
906910,Soundtrack + wallpapers 2,None,None,None
906920,Political puzzle,None,None,1
906040,PUZZLE: CATS & DOGS - Puzzle Pack: Summer Dogs,None,None,None
906060,Business tour. Crazy Heroes: Mr. and Mrs. Balloonski,None,None,None
906080,筑盛计划_Victory Project,None,None,None
906130,CarX Drift Racing Online - Origins,None,None,5
906160,Repeat the image: Animals,None,None,2
906170,Metal Brigade Tactics,None,None,None
906190,Kamikaze Cube 2,None,None,None
906260,Ravensgard Arena,None,None,None
906280,Combat rush,None,None,3
906290,Beach Volleyball Detectives Part 2,None,None,5
906310,Rapid Racing,None,None,1
906320,Ahockalypse,None,None,None
906340,Jubox 2,None,None,5
906360,LUXO Buddies,None,None,3
906370,Starkid's Obstacle Course,None,None,None
906430,Alive,None,None,None
906450,Tenacious,None,None,None
906460,Galactis,None,None,None
906470,Gravia,None,None,None
906480,Defenders of Ekron - Definitive Edition,None,None,2
906490,Gamers Club,None,None,None
905684,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Wagner,None,None,None
905685,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Chaos,None,None,None
905686,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Byakuya,None,None,None
